LanguageId,EngineId
en,1
es,1
fr,1
de,1
zh-CN,1
zh-TW,1
ja,1
ko,1
ru,1
ar,1
hi,1
pt,1
it,1
nl,1
sv,1
no,1
da,1
fi,1
el,1
tr,1
iw,1
th,1
vi,1
pl,1
cs,1
hu,1
af,3
sq,3
am,3
ar,3
hy,3
az,3
bn,3
bs,3
bg,3
ca,3
zh-CN,3
zh-TW,3
hr,3
cs,3
da,3
nl,3
en,3
et,3
fa,3
tl,3
fi,3
fr,3
fr-CA,3
ka,3
de,3
el,3
gu,3
ht,3
ha,3
iw,3
hi,3
hu,3
is,3
id,3
ir,3
it,3
ja,3
kn,3
kk,3
ko,3
lv,3
lt,3
mk,3
ms,3
ml,3
mt,3
mr,3
mn-Cyrl,3
no,3
ps,3
pl,3
pt,3
pt-PT,3
pa,3
ro,3
ru,3
si,3
sk,3
sl,3
so,3
es,3
sw,3
sv,3
ta,3
te,3
th,3
tr,3
uk,3
ur,3
uz,3
vi,3
cy,3
